,state,parlimen,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp,top_party,total_seat_votes,Percentage of votes garnered,Percentage of bumiputera residents,labour_unemployment_rate,poverty_incidence,Result
704,Johor,P.159 Pasir Gudang,1,Noor Azleen Bin Ambros,NOOR AZLEEN AMBROS,37.0,male,bumiputera,BARISAN NASIONAL (BN),37369,0,lost,0,BN,149280,25.03282422293676,60.16661097,4.3,4.9,Lost
705,Johor,P.159 Pasir Gudang,2,Hassan Bin Abdul Karim,HASSAN ABDUL KARIM,71.0,male,bumiputera,PAKATAN HARAPAN (PH),71233,1,won,0,PH,149280,47.71771168274383,60.16661097,4.3,4.9,Won
706,Johor,P.159 Pasir Gudang,3,Mohamad Farid Bin Abdul Razak,MOHAMAD FARID BIN ABDUL RAZAK,38.0,male,bumiputera,PERIKATAN NASIONAL (PN),39675,0,lost,0,PN,149280,26.57757234726688,60.16661097,4.3,4.9,Lost
707,Johor,P.159 Pasir Gudang,4,Mohammad Raffi Bin Beran,MOHAMMAD RAFFI BERAN,50.0,male,bumiputera,PARTI PEJUANG TANAHAIR (PEJUANG),1003,0,lost_deposit,0,Others,149280,0.6718917470525188,60.16661097,4.3,4.9,Lost
708,Johor,P.160 Johor Bahru,1,Johan Arifin Bin Mohd Ropi,JOHAN ROPI,42.0,male,bumiputera,BARISAN NASIONAL (BN),27211,0,lost,0,BN,94393,28.827349485661014,54.751578,3.5,3.4,Lost
709,Johor,P.160 Johor Bahru,2,Mohd Mohtaj Bin Yacob,MOHTAJ,56.0,male,bumiputera,PERIKATAN NASIONAL (PN),22075,0,lost,0,PN,94393,23.386268049537573,54.751578,3.5,3.4,Lost
710,Johor,P.160 Johor Bahru,3,Mohamad Akhiri Bin Mahmood,HAIRY MAHMOOD,50.0,male,bumiputera,PARTI PEJUANG TANAHAIR (PEJUANG),1855,0,lost_deposit,0,Others,94393,1.9651880965749577,54.751578,3.5,3.4,Lost
711,Johor,P.160 Johor Bahru,4,Akmal Nasrullah Bin Mohd Nasir,AKMAL NASIR,36.0,male,bumiputera,PAKATAN HARAPAN (PH),43252,1,won,0,PH,94393,45.82119436822646,54.751578,3.5,3.4,Won
712,Johor,P.161 Pulai,1,Nur Jazlan Bin Mohamed,NUR JAZLAN,56.0,male,bumiputera,BARISAN NASIONAL (BN),31726,0,lost,0,BN,117303,27.046196601962443,47.32300909,3.7,1.1,Lost
713,Johor,P.161 Pulai,2,Loh Kah Yong,LOH KAH YONG,49.0,male,chinese,PERIKATAN NASIONAL (PN),20677,0,lost,0,PN,117303,17.62700016197369,47.32300909,3.7,1.1,Lost
714,Johor,P.161 Pulai,3,Salahuddin Bin Ayub,DATUK SERI SALAHUDDIN AYUB,61.0,male,bumiputera,PAKATAN HARAPAN (PH),64900,1,won,0,PH,117303,55.32680323606387,47.32300909,3.7,1.1,Won
715,Johor,P.162 Iskandar Puteri,1,Tan Nam Cha,JASHEN TAN,37.0,male,chinese,PERIKATAN NASIONAL (PN),30078,0,lost,0,PN,163680,18.376099706744867,47.65249325,3.8,2.4,Lost
716,Johor,P.162 Iskandar Puteri,2,Teoh Sew Hock,DATUK JASON TEOH,53.0,male,chinese,BARISAN NASIONAL (BN),36783,0,lost,0,BN,163680,22.4725073313783,47.65249325,3.8,2.4,Lost
717,Johor,P.162 Iskandar Puteri,3,Liew Chin Tong,LIEW CHIN TONG,45.0,male,chinese,PAKATAN HARAPAN (PH),96819,1,won,0,PH,163680,59.15139296187684,47.65249325,3.8,2.4,Won
718,Johor,P.163 Kulai,1,Chua Jian Boon,CHUA JIAN BOON,29.0,male,chinese,BARISAN NASIONAL (BN),29506,0,lost,0,BN,115253,25.60106895265199,53.68423673,3.7,4.2,Lost
719,Johor,P.163 Kulai,2,Teo Nie Ching,TEO NIE CHING,41.0,female,chinese,PAKATAN HARAPAN (PH),65529,1,won,0,PH,115253,56.856654490555556,53.68423673,3.7,4.2,Won
720,Johor,P.163 Kulai,3,Tan Chin Hock,DATO' TAN,,male,chinese,PERIKATAN NASIONAL (PN),20218,0,lost,0,PN,115253,17.542276556792448,53.68423673,3.7,4.2,Lost
721,Johor,P.164 Pontian,1,Isa Bin Ab Hamid,CIKGU ISA BIN AB HAMID,56.0,male,bumiputera,PERIKATAN NASIONAL (PN),17443,0,lost,0,PN,56851,30.681958101000863,77.6971731,4.3,4.9,Lost
722,Johor,P.164 Pontian,2,Ahmad Bin Maslan,DATUK SERI AHMAD MASLAN,56.0,male,bumiputera,BARISAN NASIONAL (BN),23201,1,won,0,BN,56851,40.81018803539076,77.6971731,4.3,4.9,Won
723,Johor,P.164 Pontian,3,Shazwan Bin Zdainal Abidin,SHAZWAN ZDAINAL,38.0,male,bumiputera,PAKATAN HARAPAN (PH),15901,0,lost,0,PH,56851,27.969604756292764,77.6971731,4.3,4.9,Lost
724,Johor,P.164 Pontian,4,Jamaluddin Bin Mohamad,JAMALUDDIN MOHAMAD,,male,bumiputera,PARTI PEJUANG TANAHAIR (PEJUANG),306,0,lost_deposit,0,Others,56851,0.5382491073156145,77.6971731,4.3,4.9,Lost
725,Johor,P.165 Tanjung Piai,1,Najwah Halimah Binti Ab Alim,NAJWAH HALIMAH,44.0,female,bumiputera,PERIKATAN NASIONAL (PN),13762,0,lost,0,PN,54588,25.21066901150436,66.7494819,3.9,6.6,Lost
726,Johor,P.165 Tanjung Piai,2,Wee Jeck Seng,WEE JECK SENG,58.0,male,chinese,BARISAN NASIONAL (BN),23593,1,won,0,BN,54588,43.22012163845534,66.7494819,3.9,6.6,Won
727,Johor,P.165 Tanjung Piai,3,Lim Wei Jiet,LIM WEI JIET,31.0,male,chinese,IKATAN DEMOKRATIK MALAYSIA (MUDA),17233,0,lost,0,Others,54588,31.5692093500403,66.7494819,3.9,6.6,Lost
728,W.P. Labuan,P.166 Labuan,1,Ramle Bin Mat Daly,RAMLE,60.0,male,bumiputera,PARTI PEJUANG TANAHAIR (PEJUANG),90,0,lost_deposit,0,Others,28449,0.3163555836760519,86.21749241,7.2,3.1,Lost
729,W.P. Labuan,P.166 Labuan,2,Suhaili Bin Abdul Rahman,DATO' DR. SUHAILI ABDUL RAHMAN,61.0,male,bumiputera,PERIKATAN NASIONAL (PN),8124,1,won,1,PN,28449,28.556364019824947,86.21749241,7.2,3.1,Won
730,W.P. Labuan,P.166 Labuan,3,Bashir Bin Alias,BASHIR BIN ALIAS,56.0,male,bumiputera,BARISAN NASIONAL (BN),7416,0,lost,0,BN,28449,26.067700094906677,86.21749241,7.2,3.1,Lost
731,W.P. Labuan,P.166 Labuan,4,Ramli Bin Tahir,DATUK WIRA DR RAMLI,,male,bumiputera,PAKATAN HARAPAN (PH),5307,0,lost,0,PH,28449,18.654434250764528,86.21749241,7.2,3.1,Lost
732,W.P. Labuan,P.166 Labuan,5,Rozman Bin Isli,DATUK ROZMAN ISLI,58.0,male,bumiputera,PARTI WARISAN SABAH (WARISAN),7310,0,lost,0,Others,28449,25.6951035185771,86.21749241,7.2,3.1,Lost
733,W.P. Labuan,P.166 Labuan,6,Dayang Rusimah @ Raynie Bt Mohd. Din,DAYANG RUSIMAH @ RAYNIE BINTI DATUK HJ. MOHD. DIN,42.0,female,bumiputera,PARTI BANGSA MALAYSIA (PBM),202,0,lost_deposit,0,Others,28449,0.7100425322506942,86.21749241,7.2,3.1,Lost
734,Sabah,P.167 Kudat,1,Ruddy Bin Awah,RUDDY BIN AWAH,53.0,male,bumiputera,PARTI GABUNGAN RAKYAT SABAH (GRS),14356,0,lost,0,Others,45108,31.825840205728472,94.12439917,9.1,47.0,Lost
735,Sabah,P.167 Kudat,2,Nur Alya Humaira Binti Usun Abdullah,PETRONELLA USUN,34.0,female,bumiputera,PARTI PEJUANG TANAHAIR (PEJUANG),282,0,lost_deposit,0,Others,45108,0.6251662676243681,94.12439917,9.1,47.0,Lost
736,Sabah,P.167 Kudat,3,Rashid Bin Abdul Harun,RASHID BIN ABDUL HARUN,56.0,male,bumiputera,PARTI WARISAN SABAH (WARISAN),9421,0,lost,0,Others,45108,20.88543052230203,94.12439917,9.1,47.0,Lost
737,Sabah,P.167 Kudat,4,Verdon Bin Bahanda,VERDON BIN BAHANDA,49.0,male,bumiputera,BEBAS (BEBAS),16323,1,won,1,Others,45108,36.186485767491355,94.12439917,9.1,47.0,Won
738,Sabah,P.167 Kudat,5,Thonny Chee,THONNY CHEE,42.0,male,bumiputera,PAKATAN HARAPAN (PH),4726,0,lost_deposit,0,PH,45108,10.477077236853773,94.12439917,9.1,47.0,Lost
739,Sabah,P.168 Kota Marudu,1,Mohd Azmi Bin Hj Zulkiflee,MOHD AZMI BIN HJ ZULKIFLEE,47.0,male,bumiputera,PARTI PEJUANG TANAHAIR (PEJUANG),279,0,lost_deposit,0,Others,49946,0.5586032915548792,97.59647372,8.6,44.2,Lost
740,Sabah,P.168 Kota Marudu,2,Shahrizal Bin Denci,SHAHRIZAL DENCI,39.0,male,bumiputera,IKATAN DEMOKRATIK MALAYSIA (MUDA),3225,0,lost_deposit,0,Others,49946,6.456973531413928,97.59647372,8.6,44.2,Lost
741,Sabah,P.168 Kota Marudu,3,Norman Bin Tulang,NORMAN BIN TULANG (TAS),58.0,male,bumiputera,BEBAS (BEBAS),660,0,lost_deposit,0,Others,49946,1.3214271413126177,97.59647372,8.6,44.2,Lost
742,Sabah,P.168 Kota Marudu,4,Jilid @ Zainuddin Bin Kuminding,JILID @ ZAINUDDIN BIN KUMINDING,60.0,male,bumiputera,PARTI WARISAN SABAH (WARISAN),5320,0,lost_deposit,0,Others,49946,10.651503623913827,97.59647372,8.6,44.2,Lost
743,Sabah,P.168 Kota Marudu,5,Johnity @ Maximus Bin Ongkili,DR.MAXIMUS@JOHNITY ONGKILI,69.0,male,bumiputera,PARTI GABUNGAN RAKYAT SABAH (GRS),16144,0,lost,0,Others,49946,32.322908741440756,97.59647372,8.6,44.2,Lost
744,Sabah,P.168 Kota Marudu,6,Wetrom Bin Bahanda, DATUK WETROM BAHANDA,52.0,male,bumiputera,PARTI KESEJAHTERAAN DEMOKRATIK MASYARAKAT (KDM),24318,1,won,1,Others,49946,48.688583670364,97.59647372,8.6,44.2,Won
745,Sabah,P.169 Kota Belud,1,Madeli @ Modily Bin Bangali,MADELI @ MODILY BIN BANGALI,54.0,male,bumiputera,PAKATAN HARAPAN (PH),8323,0,lost,0,PH,54037,15.402409460184687,97.80847145,9.7,34.1,Lost
746,Sabah,P.169 Kota Belud,2,Abd Rahman Bin Dahlan,DATUK SERI PANGLIMA ABD RAHMAN BIN DAHLAN.,57.0,male,bumiputera,BARISAN NASIONAL (BN),20566,0,lost,0,BN,54037,38.05910764846309,97.80847145,9.7,34.1,Lost
747,Sabah,P.169 Kota Belud,3,Isnaraissah Munirah Bt Majilis@Fakharudy,MUNIRAH MAJILIS,40.0,female,bumiputera,PARTI WARISAN SABAH (WARISAN),25148,1,won,0,Others,54037,46.538482891352224,97.80847145,9.7,34.1,Won
748,Sabah,P.170 Tuaran,1,Madius Bin Tangau,MADIUS TANGAU,64.0,male,bumiputera,PAKATAN HARAPAN (PH),24943,1,won,0,PH,58227,42.83751524206983,96.79763904,5.9,16.3,Won
749,Sabah,P.170 Tuaran,2,Boby Bin Lewat,BOBY BIN LEWAT,42.0,male,bumiputera,BEBAS (BEBAS),393,0,lost_deposit,0,Others,58227,0.6749446133237158,96.79763904,5.9,16.3,Lost
750,Sabah,P.170 Tuaran,3,Noortaip Bin Suhaili @ Sualee,NOORTAIP BIN SUHAILI @ SUALEE,70.0,male,bumiputera,BEBAS (BEBAS),2008,0,lost_deposit,0,Others,58227,3.448571968330843,96.79763904,5.9,16.3,Lost
751,Sabah,P.170 Tuaran,4,Jo-Anna Sue Henley Rampas,JO-ANNA SUE HENLEY RAMPAS,33.0,female,bumiputera,PARTI WARISAN SABAH (WARISAN),5728,0,lost_deposit,0,Others,58227,9.837360674601129,96.79763904,5.9,16.3,Lost
752,Sabah,P.170 Tuaran,5,Muminin Kalingkong @ Norbinsha,MUMININ B. NORBINSHA,63.0,male,bumiputera,PARTI PEJUANG TANAHAIR (PEJUANG),445,0,lost_deposit,0,Others,58227,0.7642502619059887,96.79763904,5.9,16.3,Lost
753,Sabah,P.170 Tuaran,6,Joniston Bin Lumai @ Bangkuai,JONISTON BANGKUAI,60.0,male,bumiputera,PARTI GABUNGAN RAKYAT SABAH (GRS),24710,0,lost,0,Others,58227,42.43735723976849,96.79763904,5.9,16.3,Lost
754,Sabah,P.171 Sepanggar,1,Mohd. Azis Bin Jamman,MOHD AZIS JAMMAN,48.0,male,bumiputera,PARTI WARISAN SABAH (WARISAN),18594,0,lost,0,Others,70304,26.44799726900319,85.6421819,6.3,9.8,Lost
755,Sabah,P.171 Sepanggar,2,Yakubah Khan,YAKUB KHAN,60.0,male,bumiputera,BARISAN NASIONAL (BN),19980,0,lost,0,BN,70304,28.41943559399181,85.6421819,6.3,9.8,Lost
756,Sabah,P.171 Sepanggar,3,Yusof Bin Kunchang,YUSOF BIN KUNCHANG,65.0,male,bumiputera,PARTI PEJUANG TANAHAIR (PEJUANG),731,0,lost_deposit,0,Others,70304,1.0397701411015021,85.6421819,6.3,9.8,Lost
