,state,parlimen,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp,top_party,ethnicity_proportion_bumi,ethnicity_proportion_chinese,ethnicity_proportion_indian,ethnicity_proportion_other
76,Perak,P.077 Tanjong Malim,3,Chang Lih Kang,CHANG LIH KANG,42,male,chinese,PAKATAN HARAPAN (PH),25140,1,won,0,PH,74.07671722,13.39875112,11.94766577,0.576865894
77,Pahang,P.078 Cameron Highlands,1,Ramli Bin Mohd Nor,DATO' RAMLI BIN MOHD NOR,64,male,bumiputera,BARISAN NASIONAL (BN),16120,1,won,1,BN,72.18552649,18.84263436,8.398311638,0.573527516
78,Pahang,P.079 Lipis,4,Abdul Rahman Bin Mohamad,DATO SRI ABDUL RAHMAN BIN MOHAMAD,60,male,bumiputera,BARISAN NASIONAL (BN),17672,1,won,0,BN,84.28571429,11.39741393,3.953886898,0.362984889
79,Pahang,P.080 Raub,1,Chow Yu Hui,CHOW YU HUI,39,male,chinese,PAKATAN HARAPAN (PH),21613,1,won,1,PH,60.99240685,32.52582553,6.040305492,0.441462123
80,Pahang,P.081 Jerantut,3,Khairil Nizam Bin Khirudin,IR. HAJI KHAIRIL,43,male,bumiputera,PERIKATAN NASIONAL (PN),31701,1,won,1,PN,85.63525391,11.12358312,2.67190491,0.56925806
81,Pahang,P.082 Indera Mahkota,2,Saifuddin Bin Abdullah,DATO' SRI SAIFUDDIN ABDULLAH,61,male,bumiputera,PERIKATAN NASIONAL (PN),41692,1,won,0,PN,75.77928129,19.54900101,4.232921422,0.438796277
82,Pahang,P.083 Kuantan,3,Wan Razali Bin Wan Nor,WAN RAZALI WAN NOR,41,male,bumiputera,PERIKATAN NASIONAL (PN),25514,1,won,1,PN,82.51948011,15.65470617,1.609191754,0.216621967
83,Pahang,P.084 Paya Besar,4,Mohd Shahar Bin Abdullah,DATO' INDERA MOHD SHAHAR BIN ABDULLAH,42,male,bumiputera,BARISAN NASIONAL (BN),26899,1,won,0,BN,91.47376823,6.383990841,1.484330278,0.65791065
84,Pahang,P.085 Pekan,1,Sh Mohmed Puzi Bin Sh Ali,SH MOHMED PUZI BIN SH ALI,65,male,bumiputera,BARISAN NASIONAL (BN),47418,1,won,1,BN,96.28199825,1.447020281,0.813456501,1.457524965
85,Pahang,P.086 Maran,3,Ismail Bin Abd. Muttalib,DATO SRI DR HJ ISMAIL B HJ ABD MUTTALIB,68,male,bumiputera,PERIKATAN NASIONAL (PN),19600,1,won,0,PN,93.54239417,4.696127845,1.324548879,0.436929111
86,Pahang,P.087 Kuala Krau,2,Kamal Bin Ashaari,USTAZ HAJI KAMAL BIN ASHAARI,52,male,bumiputera,PERIKATAN NASIONAL (PN),22505,1,won,1,PN,97.00970112,1.377468656,1.365398832,0.247431391
87,Pahang,P.088 Temerloh,2,Salamiah Binti Mohd Nor,HJH SALAMIAH MOHD NOR,58,female,bumiputera,PERIKATAN NASIONAL (PN),30929,1,won,1,PN,75.88739201,16.92322249,6.554000451,0.635385052
