,state,parlimen,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp,top_party,total_seat_votes,Percentage of votes garnered,Percentage of bumiputera residents,labour_unemployment_rate,poverty_incidence,Result
290,Perak,P.067 Kuala Kangsar,4,Ahmad Termizi Bin Ramli,DR. AHMAD TERMIZI RAMLI,68,male,bumiputera,PAKATAN HARAPAN (PH),10356,0,lost,0,PH,35754,28.96459137,82.16456196,4.9,7.3,Lost
291,Perak,P.068 Beruas,1,Ngeh Koo Ham,DATO' NGEH KOO HAM,61,male,chinese,PAKATAN HARAPAN (PH),46710,1,won,0,PH,72173,64.71949344,33.13218339,5.1,8.9,Won
295,Perak,P.069 Parit,2,Nurthaqaffah Binti Nordin,NURTHAQAFFAH NORDIN,30,female,bumiputera,PAKATAN HARAPAN (PH),5063,0,lost,0,PH,37545,13.48515115,95.8972262,6.3,6.2,Lost
300,Perak,P.070 Kampar,3,Chong Zhemin,CHONG ZHEMIN,37,male,chinese,PAKATAN HARAPAN (PH),30467,1,won,1,PH,59386,51.30333749,44.61742398,4.4,7.6,Won
304,Perak,P.071 Gopeng,3,Tan Kar Hing,TAN KAR HING,40,male,chinese,PAKATAN HARAPAN (PH),55880,1,won,1,PH,103638,53.9184469,52.70700014,3.9,4.4,Won
306,Perak,P.072 Tapah,1,Saraswathy A/P Kandasami,SARASWATHY KANDASAMI,54,female,indian,PAKATAN HARAPAN (PH),13334,0,lost,0,PH,44481,29.97684405,71.64035654,4.4,9,Lost
313,Perak,P.073 Pasir Salak,2,Nik Omar Bin Nik Ab Aziz,USTAZ NIK OMAR,57,male,bumiputera,PAKATAN HARAPAN (PH),11693,0,lost,0,PH,57023,20.50576083,86.75206853,5.6,18.9,Lost
317,Perak,P.074 Lumut,2,Mohd Hatta Bin Md Ramli,DR HATTA RAMLI,66,male,bumiputera,PAKATAN HARAPAN (PH),20358,0,lost,0,PH,71162,28.60796493,81.61438468,5.6,4.7,Lost
323,Perak,P.075 Bagan Datuk,3,Shamsul Iskandar @ Yusre Bin Mohd Akin,DATUK SERI HAJI SHAMSUL ISKANDAR,47,male,bumiputera,PAKATAN HARAPAN (PH),16230,0,lost,0,PH,41856,38.77580275,55.14319533,5.3,6.3,Lost
325,Perak,P.076 Teluk Intan,1,Nga Kor Ming,NGA KOR MING,50,male,chinese,PAKATAN HARAPAN (PH),33133,1,won,0,PH,64194,51.61385799,49.91991632,5.4,10.3,Won
331,Perak,P.077 Tanjong Malim,3,Chang Lih Kang,CHANG LIH KANG,42,male,chinese,PAKATAN HARAPAN (PH),25140,1,won,0,PH,69671,36.08387995,74.07671722,4.4,8.3,Won
